issue_id,num_url,num_code,num_comment,num_table,count_word_title,count_word_body,readability,labeler_exper,num_file,num_add,num_delete,stargazers_count,whether_solved_by_newcomers
3536122,0,0,0,0,6,43,10.21,,9,73,31,12460,1
26688519,0,1,0,0,12,125,11.66,0,2,127,29,136126,1
27729486,0,0,0,0,6,0,-15.81,0,1,1,0,136126,1
60595983,0,3,1,0,9,37,10.92,61,1,6,6,64262,1
47345468,0,7,2,0,10,27,30.91,7,1,1,1,64262,1
23173729,1,0,0,0,2,18,15.95,11,3,274,0,64262,1
34016371,0,0,0,0,4,18,17.57,243,1,15,3,64262,1
51770763,0,1,1,0,9,103,8.9,124,5,59,0,64262,1
50386113,0,0,2,0,10,50,18.38,1,2,55,10,64262,1
53095116,1,0,0,0,4,6,17.85,66,1,1,1,64262,1
28653356,1,2,0,0,3,76,17.54,,1,1,2,64262,1
53483402,1,1,0,0,7,31,10.28,0,6,31,21,64262,1
38868569,0,1,0,0,8,61,11.15,0,2,14,0,64262,1
47366596,1,1,1,0,9,32,11.79,7,,,,64262,1
44033695,0,0,0,0,15,107,23.62,0,1,5,8,64262,1
34948363,0,0,2,0,11,124,8.72,88,1,4,0,64262,1
47720014,1,0,0,0,3,6,16.87,80,1,1,1,64262,1
39662421,0,1,0,0,11,12,33.05,242,1,9,0,64262,1
59275443,0,0,0,0,9,128,12.01,0,1,1,0,64262,1
59986692,0,0,0,0,4,49,15.8,241,1,99,0,64262,1
50921979,0,0,0,0,5,32,10.36,216,1,7,7,64262,1
47610941,0,0,2,0,5,83,15.08,61,1,10,4,64262,1
48691363,2,3,2,1,9,151,15.15,69,3,336,10,64262,1
43220146,0,1,0,0,7,66,7.13,184,1,1,2,25621,1
16227768,0,0,0,0,6,56,18.41,11,,,,13456,1
25477368,,,,,,,,3,2,71,0,4571,1
58288532,0,0,0,0,6,11,7.93,0,1,13,0,8211,1
59858472,0,0,0,0,17,127,6.96,0,8,134,11,8211,1
34508271,0,0,0,0,1,5,59.48,0,12,953,0,8211,1
42591524,0,1,0,0,4,142,13.83,5,6,33,0,36831,1
15451057,0,0,0,0,7,34,10.28,0,4,4,3,1287,1
8938434,0,0,0,0,4,14,8.24,0,1,1,1,14910,1
52527653,0,2,0,0,10,77,23.29,0,1,8,3,14910,1
34349008,0,3,1,0,9,129,9.53,1,59,498,499,14910,1
7109601,1,2,0,0,7,100,6.62,,1,1,1,14910,1
7447725,1,0,0,0,8,22,11.87,0,1,1,1,14910,1
23692303,0,1,0,0,7,114,12.21,0,3,64,13,14910,1
53721379,1,0,0,0,9,33,14.03,0,1,17,1,14910,1
9133189,0,1,0,0,11,43,12.01,0,3,106,14,14910,1
14801793,1,3,0,0,8,32,21.94,0,2,19,2,14910,1
26177698,0,0,0,0,7,24,18.28,0,6,60,34,11738,1
34767570,0,1,0,0,6,22,20.05,0,8,113,107,11738,1
35858186,0,2,0,0,6,7,21.47,0,3,33,6,6763,1
32287961,0,0,0,0,7,116,9.88,,1,10,10,7971,1
39789072,0,0,0,0,9,93,12.3,0,16,156,116,7971,1
31515337,0,0,1,0,8,57,11.95,0,2,4,3,7971,1
