id,issue_id,project_url,issue_url,commit,type,number_attempt_newcomer,whether_solved_by_newcomer,author_name,commit_created_at,exper,longterm,resolve_time_days
23553,1351,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/1351,15db3c21e1a4f6bd180a39f856b2c9fcc3ee866d,,0,FALSE,Jaques Grobler,2012-11-15 16:39:01 UTC,131,177,
8611325,7516,https://api.github.com/repos/adobe/brackets,https://github.com/adobe/brackets/issues/7516,baedede5686bffb6b8e88e74e5e822237fc9ef41,,0,FALSE,Marcel Gerber,2014-04-01 21:31:12 UTC,136,290,
68335272,9592,https://api.github.com/repos/radare/radare2,https://github.com/radareorg/radare2/issues/9592,55a3dcaa1cf22ae0456fbf1bf5bccaffdb0f741e,bug,0,FALSE,Sven Steinbauer,2018-03-06 20:50:04 UTC,145,0,1.13
67311348,163,https://api.github.com/repos/billz/raspap-webgui,https://github.com/billz/raspap-webgui/issues/163,2a05284be6d389323bae53e84d485525a4c5c0b7,bug,1,FALSE,billz,2018-03-28 10:09:58 UTC,155,328,35.58
61040066,7446,https://api.github.com/repos/zulip/zulip,https://github.com/zulip/zulip/issues/7446,915960ee58240ffd0f1d49875135e24cc5b7af96,ui,3,FALSE,Shubham Dhama,2018-07-20 00:24:50 UTC,226,64,241.96
61905011,7620,https://api.github.com/repos/zulip/zulip,https://github.com/zulip/zulip/issues/7620,953478a18908d77e9901e24bebe9fbe99c968774,bug,2,FALSE,rht,2018-01-20 04:17:28 UTC,230,119,49.08
1201675,1341,https://api.github.com/repos/ether/etherpad-lite,https://github.com/ether/etherpad-lite/issues/1341,730266256c9702cb5858bd75f29898e0f6d915c8,,0,FALSE,John McLear,2013-01-10 15:14:10 UTC,256,760,
7447725,607,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/607,8a9e9bfcade25fe18480f42793ed38b7f4324318,ui,0,FALSE,Nicholas C. Zakas,2014-02-18 13:27:19 UTC,494,1795,5.79
56893086,237,https://api.github.com/repos/ansible/awx,https://github.com/ansible/awx/issues/237,42d8368596c648ea240a2284aae6e3e6031b0c13,echancement,0,FALSE,Alan Rominger,2017-12-04 15:52:30 UTC,512,200,74.08
1180936,1509,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/1509,b44e779b33a844476a0cd23ec9d547e7c2ce4bef,,0,FALSE,Mathieu Blondel,2013-01-03 07:56:41 UTC,535,129,
16642746,3548,https://api.github.com/repos/facebook/react,https://github.com/facebook/react/issues/3548,88bae3fb73511893519195e451c56896463f669b,,1,,Shannessy,2015-10-31 12:11:26 UTC,604,181,
