id,url,issue_id
1458003,https://api.github.com/repos/shoes/shoes4,194
6807595,https://api.github.com/repos/scrapy/scrapy,532
56254259,https://api.github.com/repos/netlify/netlify-cms,593
56268300,https://api.github.com/repos/GoogleChrome/puppeteer,754
51056625,https://api.github.com/repos/monicahq/monica,269
35843901,https://api.github.com/repos/zmap/zmap,374
28079081,https://api.github.com/repos/shoes/shoes4,1224
27875389,https://api.github.com/repos/shakacode/react_on_rails,294
51073916,https://api.github.com/repos/monicahq/monica,276
51181692,https://api.github.com/repos/FezVrasta/popper.js,309
29113486,https://api.github.com/repos/PHP-DI/PHP-DI,396
12535122,https://api.github.com/repos/request/request,1229
67924327,https://api.github.com/repos/PHP-DI/PHP-DI,581
36915397,https://api.github.com/repos/tldr-pages/tldr,1084
42211586,https://api.github.com/repos/videojs/video.js,3930
22644795,https://api.github.com/repos/videojs/video.js,2698
67429149,https://api.github.com/repos/libuv/libuv,1756
36419631,https://api.github.com/repos/gatsbyjs/gatsby,439
9176948,https://api.github.com/repos/videojs/video.js,183
41651455,https://api.github.com/repos/angular/protractor,3897
18104633,https://api.github.com/repos/jshint/jshint,2395
41964138,https://api.github.com/repos/reactstrap/reactstrap,273
62112260,https://api.github.com/repos/fbsamples/f8app,186
36572166,https://api.github.com/repos/cucumber/cucumber-ruby,1021
67768167,https://api.github.com/repos/test-kitchen/test-kitchen,1364
52605018,https://api.github.com/repos/libuv/libuv,1417
22629045,https://api.github.com/repos/angular/protractor,2603
58281191,https://api.github.com/repos/FezVrasta/popper.js,453
33522509,https://api.github.com/repos/opal/opal,1493
12916451,https://api.github.com/repos/shoes/shoes4,945
52040951,https://api.github.com/repos/jupyterlab/jupyterlab,2556
14248717,https://api.github.com/repos/keystonejs/keystone,118
38122914,https://api.github.com/repos/facebook/draft-js,720
22926290,https://api.github.com/repos/Respect/Validation,581
63111132,https://api.github.com/repos/ansible/awx,869
63398174,https://api.github.com/repos/laurent22/joplin,117
35992756,https://api.github.com/repos/reactstrap/reactstrap,114
2832605,https://api.github.com/repos/fail2ban/fail2ban,159
47076875,https://api.github.com/repos/coryhouse/react-slingshot,407
8042413,https://api.github.com/repos/lsegal/yard,753
63278747,https://api.github.com/repos/skycocker/chromebrew,1552
49560904,https://api.github.com/repos/elastic/logstash,7135
68371112,https://api.github.com/repos/parcel-bundler/parcel,949
18437839,https://api.github.com/repos/pouchdb/pouchdb,3883
68055986,https://api.github.com/repos/FezVrasta/popper.js,568
53314478,https://api.github.com/repos/facebook/php-graph-sdk,828
